timestamp,@GV.HRR_kWLastMinAve,@GV.HRR_kVAR,@GV.HRR_kW,@GV.SD_04,@GV.SD_05,@GV.SD_38,@GV.primaryLovatoReadings.EqvPowerFactor,@GV.primaryLovatoReadings.EqvActivePower,@GV.primaryLovatoReadings.EqvReactivePower,@GV.primaryLovatoReadings.L1PhaseVoltage,@GV.primaryLovatoReadings.L2PhaseVoltage,@GV.primaryLovatoReadings.L3PhaseVoltage,@GV.HRR_WTCorrectedWindSpeed,@GV.primaryLovatoReadings.L1Current,@GV.primaryLovatoReadings.L2Current,@GV.primaryLovatoReadings.L3Current,@GV.HRR_GeneratorWindingTemp,@GV.HRR_NacelleAirTemp,@GV.HRR_OutsideAirTemp,@GV.HRR_GearboxOilTemp,@GV.HRR_GeneratorWindingTemp
2013-04-15 15:59:44.509000,675,-158,278,0,0,0,9786,5935,-1582,24902,24823,24793,106,686,667,665,943,159,110,636,943
2013-04-15 16:00:51.606000,696,-203,687,0,0,0,9589,6877,-2037,24990,24917,24877,96,1036,1006,871,943,158,107,637,943
2013-04-15 16:01:09.331000,678,-163,614,0,0,0,9661,6148,-1639,24977,24900,24864,95,877,853,824,944,157,109,637,944
2013-04-15 16:01:26.256000,678,-196,678,0,0,0,9606,6781,-1960,25020,24910,24868,107,960,932,993,943,158,107,638,943
2013-04-15 16:01:43.080000,669,-156,588,0,0,0,9664,5881,-1562,24997,24908,24864,90,870,849,849,942,156,107,638,942
2013-04-15 16:01:59.804000,641,-182,661,0,0,0,9637,6614,-1829,25039,24933,24891,93,1036,1004,1012,943,159,106,639,943
2013-04-15 16:02:16.628000,623,-163,712,0,0,0,9585,6153,-1637,25028,24933,24898,103,1056,1027,1034,943,159,107,639,943
2013-04-15 16:02:33.452000,625,-120,500,0,0,0,9722,5005,-1203,24956,24893,24848,81,771,713,747,943,161,106,638,943
2013-04-15 16:02:50.377000,657,-130,521,0,0,0,9699,5212,-1308,25005,24923,24893,107,862,837,846,942,161,107,635,942
2013-04-15 16:03:38.846000,690,-247,696,0,0,0,9604,4377,-984,25017,24935,24907,111,954,925,930,943,161,107,637,943
2013-04-15 16:03:56.572000,698,-176,642,0,0,0,9641,6421,-1767,25012,24924,24907,96,898,869,874,946,163,107,640,946
2013-04-15 16:04:13.196000,692,-176,646,0,0,0,9648,6466,-1763,25033,24933,24910,94,953,925,965,947,164,105,640,947
2013-04-15 16:04:30.020000,662,-205,709,0,0,0,9604,7099,-2059,25056,24976,24936,96,953,844,848,948,161,107,637,948
2013-04-15 16:04:46.844000,650,-213,714,0,0,0,9580,7147,-2137,25095,24999,24975,104,996,967,973,947,160,106,640,947
2013-04-15 16:05:03.668000,616,-136,551,0,0,0,9705,5510,-1368,25043,24974,24939,82,779,755,757,944,159,108,640,944
2013-04-15 16:05:20.493000,621,-147,634,0,0,0,9639,5692,-1759,25016,24926,24939,80,779,753,753,943,160,107,641,943
2013-04-15 16:05:37.317000,591,-143,559,0,0,0,9685,5599,-1438,24971,24909,24909,79,790,767,617,941,159,107,640,941
2013-04-15 16:05:54.141000,586,-200,699,0,0,0,9612,6993,-2003,25026,24930,24892,105,949,922,926,940,159,107,640,940
2013-04-15 16:06:10.965000,607,-211,709,0,0,0,9583,7098,-2115,25020,24947,24899,97,863,839,843,939,159,108,641,939
2013-04-15 16:06:27.889000,641,-205,724,0,0,0,9583,7039,-2052,24996,24900,24859,99,890,865,867,939,160,108,638,939
2013-04-15 16:06:44.714000,660,-192,677,0,0,0,9617,6602,-1928,24983,24892,24850,95,869,841,982,938,161,108,636,938
2013-04-15 16:07:51.610000,621,-203,758,0,0,0,9555,6967,-2032,24979,24889,24848,102,999,968,976,935,162,107,639,935
2013-04-15 16:08:08.434000,634,-152,587,0,0,0,9677,5873,-1529,24973,24907,24851,100,1016,985,993,937,162,107,640,937
