timestamp,@GV.HRR_kWLastMinAve,@GV.HRR_kVAR,@GV.HRR_kW,@GV.SD_04,@GV.SD_05,@GV.SD_38,@GV.primaryLovatoReadings.EqvPowerFactor,@GV.primaryLovatoReadings.EqvActivePower,@GV.primaryLovatoReadings.EqvReactivePower,@GV.primaryLovatoReadings.L1PhaseVoltage,@GV.primaryLovatoReadings.L2PhaseVoltage,@GV.primaryLovatoReadings.L3PhaseVoltage,@GV.HRR_WTCorrectedWindSpeed,@GV.primaryLovatoReadings.L1Current,@GV.primaryLovatoReadings.L2Current,@GV.primaryLovatoReadings.L3Current,@GV.HRR_GeneratorWindingTemp,@GV.HRR_NacelleAirTemp,@GV.HRR_OutsideAirTemp,@GV.HRR_GearboxOilTemp,@GV.HRR_GeneratorWindingTemp
2013-04-15 15:59:44.910000,764,-283,590,0,0,0,9501,8642,-2835,23887,23943,23764,160,1109,1085,1355,1505,169,106,651,1505
2013-04-15 16:00:26.970000,802,-255,856,0,0,0,9479,8132,-2559,23953,23941,23777,145,1220,1206,1242,1509,174,111,652,1509
2013-04-15 16:01:08.931000,800,-281,853,0,0,0,9496,8534,-2815,23932,23924,23759,174,1263,1244,1276,1513,174,110,652,1513
2013-04-15 16:01:25.655000,803,-222,970,0,0,0,9376,7489,-2223,23952,23932,23795,181,1191,1163,1204,1513,171,110,652,1513
2013-04-15 16:01:42.479000,800,-267,679,0,0,0,9646,8309,-2675,23943,23928,23804,178,1188,1159,1198,1513,172,111,653,1513
2013-04-15 16:01:59.103000,798,-247,679,0,0,0,9536,7826,-2475,23936,23935,23804,186,997,1096,1010,1515,171,109,653,1515
2013-04-15 16:02:15.827000,799,-203,714,0,0,0,9616,7142,-2035,23920,23923,23769,173,1144,1115,1160,1515,171,110,653,1515
2013-04-15 16:02:32.651000,797,-236,897,0,0,0,9470,7653,-2367,23934,23925,23770,155,1143,1125,1163,1515,171,111,652,1515
2013-04-15 16:02:49.576000,803,-296,785,0,0,0,9573,8763,-2961,23917,23943,23781,154,1120,1097,1141,1517,173,107,652,1517
2013-04-15 16:03:56.572000,824,-301,895,0,0,0,9476,8952,-3017,23844,23873,23706,167,1231,1205,1255,1525,174,109,653,1525
2013-04-15 16:04:13.396000,823,-195,751,0,0,0,9602,6996,-1953,23939,23973,23800,181,1180,1151,1197,1527,172,109,652,1527
2013-04-15 16:04:30.320000,796,-264,766,0,0,0,9548,8165,-2642,23994,23979,23810,150,1229,1203,1164,1527,173,105,653,1527
2013-04-15 16:04:47.044000,804,-288,871,0,0,0,9494,8714,-2886,23947,23968,23785,172,1403,1215,1427,1528,172,109,653,1528
2013-04-15 16:05:03.678000,783,-173,650,0,0,0,9662,6506,-1739,23938,23960,23799,200,1080,1052,1096,1527,170,107,653,1527
2013-04-15 16:05:20.292000,803,-284,650,0,0,0,9506,8715,-2848,23898,23941,23766,147,1314,1292,1330,1527,172,107,652,1527
2013-04-15 16:05:37.016000,790,-207,715,0,0,0,9604,7154,-2077,23898,23963,23807,182,1063,1043,1081,1527,168,108,653,1527
2013-04-15 16:05:53.740000,790,-245,798,0,0,0,9559,7984,-2454,23917,23931,23761,158,1287,1263,1305,1528,174,109,653,1528
2013-04-15 16:06:10.565000,791,-256,798,0,0,0,9640,8091,-2566,23931,23948,23800,136,1080,1053,1095,1528,170,108,653,1528
2013-04-15 16:06:27.158000,796,-212,734,0,0,0,9604,7343,-2129,23928,23915,23758,170,1222,1197,1095,1527,170,106,654,1527
2013-04-15 16:06:44.113000,798,-207,712,0,0,0,9603,7129,-2071,23880,23897,23766,151,1065,1039,1081,1527,171,110,652,1527
2013-04-15 16:07:51.309000,816,-283,864,0,0,0,9501,8640,-2839,23898,23903,23737,136,1326,1297,1361,1535,172,110,653,1535
2013-04-15 16:08:07.963000,808,-245,779,0,0,0,9542,7797,-2450,23864,23907,23773,168,929,899,945,1534,171,106,654,1534
2013-04-15 16:08:24.858000,811,-237,780,0,0,0,9567,7807,-2375,23917,23927,23773,151,1289,1258,1309,1534,171,108,654,1534
2013-04-15 16:08:41.982000,825,-279,852,0,0,0,9502,8526,-2795,23886,23918,23763,154,1189,1159,1210,1535,173,110,653,1535
2013-04-15 16:08:58.816000,822,-211,755,0,0,0,9590,7293,-2118,23907,23925,23778,148,1077,1053,1092,1537,170,107,654,1537
2013-04-15 16:09:15.731000,809,-224,779,0,0,0,9576,7613,-2345,23907,23925,23774,117,1179,1153,892,1536,168,107,654,1536
2013-04-15 16:09:32.555000,777,-235,779,0,0,0,9573,7804,-2353,24014,23999,23879,125,973,947,984,1535,168,106,653,1535
2013-04-15 16:09:49.279000,773,-237,784,0,0,0,9572,7843,-2371,24006,24025,23860,154,1378,1352,1390,1532,169,108,654,1532
2013-04-15 16:10:06.003000,777,-230,744,0,0,0,9604,7626,-2302,24036,24048,23883,140,1180,1155,1203,1533,172,110,652,1533
2013-04-15 16:10:22.727000,811,-219,742,0,0,0,9591,7427,-2190,24048,24056,23895,154,1129,1111,1274,1535,177,110,654,1535
2013-04-15 16:10:39.752000,844,-213,745,0,0,0,9612,7457,-2139,24038,24033,23862,124,1327,1304,1351,1536,174,108,653,1536
2013-04-15 16:10:56.476000,839,-250,745,0,0,0,9553,8085,-2502,24004,24004,23866,144,1172,1145,1187,1539,174,108,653,1539
2013-04-15 16:11:13.400000,805,-192,725,0,0,0,9588,6906,-1923,24004,24012,23883,166,902,882,916,1538,173,106,653,1538
2013-04-15 16:11:31.526000,790,-282,839,0,0,0,9478,8398,-2829,24009,24015,23858,177,1105,1087,1123,1537,169,107,653,1537
2013-04-15 16:11:48.551000,789,-259,820,0,0,0,9533,8202,-2598,24022,24018,23821,140,1386,1363,1409,1535,168,107,654,1535
2013-04-15 16:12:05.275000,832,-242,796,0,0,0,9567,7963,-2422,24013,24019,23838,136,1267,1253,1293,1539,174,106,655,1539
2013-04-15 16:12:21.999000,836,-245,797,0,0,0,9557,7970,-2452,24039,24045,23873,143,1119,1099,1190,1540,171,107,653,1540
2013-04-15 16:12:38.623000,851,-285,859,0,0,0,9488,7970,-2857,24035,24047,23885,134,1193,1171,1214,1542,171,108,654,1542
2013-04-15 16:12:55.347000,830,-219,747,0,0,0,9596,7472,-2190,24056,24074,23907,166,1031,1014,1050,1543,174,106,653,1543
2013-04-15 16:13:12.171000,810,-152,709,0,0,0,9637,6144,-1522,24016,24030,23878,150,1061,1044,1085,1544,173,109,654,1544
2013-04-15 16:13:29.095000,801,-243,789,0,0,0,9556,6760,-2431,24022,24041,23902,187,918,895,1320,1543,169,106,654,1543
2013-04-15 16:13:45.919000,799,-319,925,0,0,0,9453,9256,-3199,23996,23992,23831,159,1362,1079,1380,1542,168,106,653,1542
2013-04-15 16:14:02.744000,811,-272,829,0,0,0,9500,8294,-2727,24012,24025,23862,149,1118,1099,1138,1542,170,106,654,1542
2013-04-15 16:14:19.668000,825,-238,766,0,0,0,9549,7662,-2389,24026,24058,23887,142,971,960,999,1543,175,106,653,1543
2013-04-15 16:14:36.392000,834,-201,766,0,0,0,9613,7237,-2098,24026,24021,23839,164,1088,1066,1111,1544,174,108,653,1544
2013-04-15 16:14:53.316000,810,-254,813,0,0,0,9543,8393,-2545,23995,24000,23822,128,1023,1001,1214,1544,175,106,654,1544
2013-04-15 16:15:10.841000,797,-323,805,0,0,0,9543,9212,-3234,23982,24033,23849,155,995,983,1029,1544,177,106,654,1544
2013-04-15 16:15:57.909000,768,-187,685,0,0,0,9643,6853,-1879,23940,23984,23830,155,952,936,1267,1543,171,105,654,1543
2013-04-15 16:16:14.533000,774,-238,780,0,0,0,9563,7800,-2382,23960,23978,23790,152,1316,1294,1338,1542,168,107,655,1542
